stock,by,R,S
Fraser_Canyon-Coho,1998,6421,5460
Fraser_Canyon-Coho,1999,4264,4096
Fraser_Canyon-Coho,2000,5232,2719
Fraser_Canyon-Coho,2001,6684,5971
Fraser_Canyon-Coho,2002,2518,3817
Fraser_Canyon-Coho,2003,1812,4552
Fraser_Canyon-Coho,2004,3008,5872
Fraser_Canyon-Coho,2005,1528,2269
Fraser_Canyon-Coho,2006,2344,1605
Fraser_Canyon-Coho,2007,2809,2739
Fraser_Canyon-Coho,2008,3679,1138
Fraser_Canyon-Coho,2009,5865,2308
Fraser_Canyon-Coho,2010,6087,2227
Fraser_Canyon-Coho,2011,1394,3189
Fraser_Canyon-Coho,2012,664,5134
Fraser_Canyon-Coho,2013,1212,5398
Fraser_Canyon-Coho,2014,2760,1048
Fraser_Canyon-Coho,2015,4695,352
Fraser_Canyon-Coho,2016,4965,1160
