stock,by,R,S
Upper Skeena-Chinook,1984,8229,1448
Upper Skeena-Chinook,1985,3890,1992
Upper Skeena-Chinook,1986,15193,740
Upper Skeena-Chinook,1987,12063,7440
Upper Skeena-Chinook,1988,32293,4272
Upper Skeena-Chinook,1989,12280,2493
Upper Skeena-Chinook,1990,11697,2070
Upper Skeena-Chinook,1991,34776,2336
Upper Skeena-Chinook,1992,20657,7222
Upper Skeena-Chinook,1993,16170,12208
Upper Skeena-Chinook,1994,9486,9238
Upper Skeena-Chinook,1995,12622,7551
Upper Skeena-Chinook,1996,32342,17849
Upper Skeena-Chinook,1997,9394,9526
Upper Skeena-Chinook,1998,18809,5782
Upper Skeena-Chinook,1999,7234,3812
Upper Skeena-Chinook,2000,10439,5909
Upper Skeena-Chinook,2001,6226,14254
Upper Skeena-Chinook,2002,17392,2948
Upper Skeena-Chinook,2003,9232,6315
Upper Skeena-Chinook,2004,15077,7904
Upper Skeena-Chinook,2005,5455,4552
Upper Skeena-Chinook,2006,2942,3840
Upper Skeena-Chinook,2007,4225,5745
Upper Skeena-Chinook,2008,3051,5366
Upper Skeena-Chinook,2009,5063,5284
Upper Skeena-Chinook,2010,3883,5596
Upper Skeena-Chinook,2011,3000,1128
Upper Skeena-Chinook,2012,4432,1511
Upper Skeena-Chinook,2013,2667,2499
